code,rate,ebn0_db,ber,bit_errors,blocks_simulated
Uncoded,1.0,-2.0,0.12708333333333333,244,30
Uncoded,1.0,-1.5,0.1265625,243,30
Uncoded,1.0,-1.0,0.1078125,207,30
Uncoded,1.0,-0.5,0.0859375,165,30
Uncoded,1.0,0.0,0.07864583333333333,151,30
Uncoded,1.0,0.5,0.06666666666666667,128,30
Uncoded,1.0,1.0,0.06510416666666667,125,30
Uncoded,1.0,1.5,0.04734848484848485,100,33
Uncoded,1.0,2.0,0.02869318181818182,101,55
Uncoded,1.0,2.5,0.0294811320754717,100,53
Uncoded,1.0,3.0,0.020495129870129872,101,77
Uncoded,1.0,3.5,0.017959770114942528,100,87
Uncoded,1.0,4.0,0.010349025974025974,102,154
Uncoded,1.0,4.5,0.007735148514851485,100,202
Uncoded,1.0,5.0,0.0057444852941176475,100,272
Uncoded,1.0,5.5,0.0037650602409638554,100,415
Uncoded,1.0,6.0,0.00238914373088685,100,654
Uncoded,1.0,6.5,0.0013706140350877192,100,1140
Uncoded,1.0,7.0,0.0007476076555023923,100,2090
Uncoded,1.0,7.5,0.0003335112059765208,100,4685
Uncoded,1.0,8.0,0.0002362055933484505,100,6615
Uncoded,1.0,8.5,7.578125e-05,97,20000
Uncoded,1.0,9.0,3.046875e-05,39,20000
Repetition(3),0.3333333333333333,-2.0,0.1703125,327,30
Repetition(3),0.3333333333333333,-1.5,0.15729166666666666,302,30
Repetition(3),0.3333333333333333,-1.0,0.14739583333333334,283,30
Repetition(3),0.3333333333333333,-0.5,0.128125,246,30
Repetition(3),0.3333333333333333,0.0,0.11197916666666667,215,30
Repetition(3),0.3333333333333333,0.5,0.09375,180,30
Repetition(3),0.3333333333333333,1.0,0.090625,174,30
Repetition(3),0.3333333333333333,1.5,0.07395833333333333,142,30
Repetition(3),0.3333333333333333,2.0,0.0609375,117,30
Repetition(3),0.3333333333333333,2.5,0.045089285714285714,101,35
Repetition(3),0.3333333333333333,3.0,0.048828125,100,32
Repetition(3),0.3333333333333333,3.5,0.03757440476190476,101,42
Repetition(3),0.3333333333333333,4.0,0.025201612903225805,100,62
Repetition(3),0.3333333333333333,4.5,0.019201807228915662,102,83
Repetition(3),0.3333333333333333,5.0,0.01547029702970297,100,101
Repetition(3),0.3333333333333333,5.5,0.009622713414634146,101,164
Repetition(3),0.3333333333333333,6.0,0.008180628272251309,100,191
Repetition(3),0.3333333333333333,6.5,0.005425347222222222,100,288
Repetition(3),0.3333333333333333,7.0,0.0029648956356736244,100,527
Repetition(3),0.3333333333333333,7.5,0.002179218967921897,100,717
Repetition(3),0.3333333333333333,8.0,0.0013152356902356903,100,1188
Repetition(3),0.3333333333333333,8.5,0.0006978561857972309,100,2239
Repetition(3),0.3333333333333333,9.0,0.00034538019451812557,100,4524
"Hamming(7,4)",0.5714285714285714,-2.0,0.16447368421052633,100,152
"Hamming(7,4)",0.5714285714285714,-1.5,0.17832167832167833,102,143
"Hamming(7,4)",0.5714285714285714,-1.0,0.1275252525252525,101,198
"Hamming(7,4)",0.5714285714285714,-0.5,0.14124293785310735,100,177
"Hamming(7,4)",0.5714285714285714,0.0,0.1111111111111111,100,225
"Hamming(7,4)",0.5714285714285714,0.5,0.09148550724637682,101,276
"Hamming(7,4)",0.5714285714285714,1.0,0.08417508417508418,100,297
"Hamming(7,4)",0.5714285714285714,1.5,0.08417508417508418,100,297
"Hamming(7,4)",0.5714285714285714,2.0,0.06,102,425
"Hamming(7,4)",0.5714285714285714,2.5,0.04272419627749577,101,591
"Hamming(7,4)",0.5714285714285714,3.0,0.030376670716889428,100,823
"Hamming(7,4)",0.5714285714285714,3.5,0.021663778162911613,100,1154
"Hamming(7,4)",0.5714285714285714,4.0,0.01813655761024182,102,1406
"Hamming(7,4)",0.5714285714285714,4.5,0.013804527885146328,100,1811
"Hamming(7,4)",0.5714285714285714,5.0,0.007333720592506535,101,3443
"Hamming(7,4)",0.5714285714285714,5.5,0.004446816079686944,100,5622
"Hamming(7,4)",0.5714285714285714,6.0,0.0025807104544074487,102,9881
"Hamming(7,4)",0.5714285714285714,6.5,0.0015560811651935764,100,16066
"Hamming(7,4)",0.5714285714285714,7.0,0.0006125,49,20000
"Hamming(7,4)",0.5714285714285714,7.5,0.000325,26,20000
"Hamming(7,4)",0.5714285714285714,8.0,8.75e-05,7,20000
"Hamming(7,4)",0.5714285714285714,8.5,8.75e-05,7,20000
"Hamming(7,4)",0.5714285714285714,9.0,2.5e-05,2,20000
"Polar(128,64)",0.5,-2.0,0.4265625,819,30
"Polar(128,64)",0.5,-1.5,0.38229166666666664,734,30
"Polar(128,64)",0.5,-1.0,0.4270833333333333,820,30
"Polar(128,64)",0.5,-0.5,0.36770833333333336,706,30
"Polar(128,64)",0.5,0.0,0.30052083333333335,577,30
"Polar(128,64)",0.5,0.5,0.28072916666666664,539,30
"Polar(128,64)",0.5,1.0,0.12135416666666667,233,30
"Polar(128,64)",0.5,1.5,0.109375,210,30
"Polar(128,64)",0.5,2.0,0.06875,132,30
"Polar(128,64)",0.5,2.5,0.024867957746478875,113,71
"Polar(128,64)",0.5,3.0,0.011131535947712419,109,153
"Polar(128,64)",0.5,3.5,0.003653953229398664,105,449
"Polar(128,64)",0.5,4.0,0.0004594413193556635,115,3911
"Polar(128,64)",0.5,4.5,0.00021548920114493886,106,7686
"Polar(128,64)",0.5,5.0,1.5625e-06,2,20000
"Polar(128,64)",0.5,5.5,0.0,0,20000
"Polar(128,64)",0.5,6.0,0.0,0,20000
"Polar(128,64)",0.5,6.5,0.0,0,20000
"Polar(128,64)",0.5,7.0,0.0,0,20000
"Polar(128,64)",0.5,7.5,0.0,0,20000
"Polar(128,64)",0.5,8.0,0.0,0,20000
"Polar(128,64)",0.5,8.5,0.0,0,20000
"Polar(128,64)",0.5,9.0,0.0,0,20000
"LDPC(128,67)",0.5234375,-2.0,0.23283582089552238,468,30
"LDPC(128,67)",0.5234375,-1.5,0.227363184079602,457,30
"LDPC(128,67)",0.5234375,-1.0,0.2054726368159204,413,30
"LDPC(128,67)",0.5234375,-0.5,0.20696517412935322,416,30
"LDPC(128,67)",0.5234375,0.0,0.1691542288557214,340,30
"LDPC(128,67)",0.5234375,0.5,0.14626865671641792,294,30
"LDPC(128,67)",0.5234375,1.0,0.12388059701492538,249,30
"LDPC(128,67)",0.5234375,1.5,0.0945273631840796,190,30
"LDPC(128,67)",0.5234375,2.0,0.05472636815920398,110,30
"LDPC(128,67)",0.5234375,2.5,0.04029850746268657,108,40
"LDPC(128,67)",0.5234375,3.0,0.020522388059701493,110,80
"LDPC(128,67)",0.5234375,3.5,0.0041459369817578775,100,360
"LDPC(128,67)",0.5234375,4.0,0.0029322933466263963,100,509
"LDPC(128,67)",0.5234375,4.5,0.00024907250144699263,105,6292
"LDPC(128,67)",0.5234375,5.0,6.417910447761194e-05,86,20000
"LDPC(128,67)",0.5234375,5.5,1.8656716417910448e-05,25,20000
"LDPC(128,67)",0.5234375,6.0,0.0,0,20000
"LDPC(128,67)",0.5234375,6.5,0.0,0,20000
"LDPC(128,67)",0.5234375,7.0,0.0,0,20000
"LDPC(128,67)",0.5234375,7.5,0.0,0,20000
"LDPC(128,67)",0.5234375,8.0,0.0,0,20000
"LDPC(128,67)",0.5234375,8.5,0.0,0,20000
"LDPC(128,67)",0.5234375,9.0,0.0,0,20000
