scheme,code_name,rate,ebn0_db,ber,bit_errors,blocks_simulated
Polar short (N=128),"Polar(128,64)",0.5,-2.0,0.42604166666666665,818,30
Polar short (N=128),"Polar(128,64)",0.5,-1.5,0.4505208333333333,865,30
Polar short (N=128),"Polar(128,64)",0.5,-1.0,0.3651041666666667,701,30
Polar short (N=128),"Polar(128,64)",0.5,-0.5,0.37135416666666665,713,30
Polar short (N=128),"Polar(128,64)",0.5,0.0,0.2682291666666667,515,30
Polar short (N=128),"Polar(128,64)",0.5,0.5,0.16979166666666667,326,30
Polar short (N=128),"Polar(128,64)",0.5,1.0,0.15989583333333332,307,30
Polar short (N=128),"Polar(128,64)",0.5,1.5,0.10260416666666666,197,30
Polar short (N=128),"Polar(128,64)",0.5,2.0,0.04895833333333333,94,30
Polar short (N=128),"Polar(128,64)",0.5,2.5,0.02857142857142857,64,35
Polar short (N=128),"Polar(128,64)",0.5,3.0,0.004801829268292683,63,205
Polar short (N=128),"Polar(128,64)",0.5,3.5,0.005570652173913043,82,230
Polar short (N=128),"Polar(128,64)",0.5,4.0,0.0013002152080344332,58,697
Polar short (N=128),"Polar(128,64)",0.5,4.5,0.0,0,3000
Polar short (N=128),"Polar(128,64)",0.5,5.0,5.208333333333334e-05,10,3000
Polar short (N=128),"Polar(128,64)",0.5,5.5,0.0,0,3000
Polar short (N=128),"Polar(128,64)",0.5,6.0,0.0,0,3000
Polar short (N=128),"Polar(128,64)",0.5,6.5,0.0,0,3000
LDPC short (N=128),"LDPC(128,67)",0.5234375,-2.0,0.2626865671641791,528,30
LDPC short (N=128),"LDPC(128,67)",0.5234375,-1.5,0.21990049751243781,442,30
LDPC short (N=128),"LDPC(128,67)",0.5234375,-1.0,0.22139303482587064,445,30
LDPC short (N=128),"LDPC(128,67)",0.5234375,-0.5,0.19701492537313434,396,30
LDPC short (N=128),"LDPC(128,67)",0.5234375,0.0,0.172636815920398,347,30
LDPC short (N=128),"LDPC(128,67)",0.5234375,0.5,0.17064676616915422,343,30
LDPC short (N=128),"LDPC(128,67)",0.5234375,1.0,0.13034825870646766,262,30
LDPC short (N=128),"LDPC(128,67)",0.5234375,1.5,0.07860696517412935,158,30
LDPC short (N=128),"LDPC(128,67)",0.5234375,2.0,0.06965174129353234,140,30
LDPC short (N=128),"LDPC(128,67)",0.5234375,2.5,0.04129353233830846,83,30
LDPC short (N=128),"LDPC(128,67)",0.5234375,3.0,0.022601279317697228,53,35
LDPC short (N=128),"LDPC(128,67)",0.5234375,3.5,0.005835484232970486,52,133
LDPC short (N=128),"LDPC(128,67)",0.5234375,4.0,0.001752245063988235,56,477
LDPC short (N=128),"LDPC(128,67)",0.5234375,4.5,0.00038288711332013696,53,2066
LDPC short (N=128),"LDPC(128,67)",0.5234375,5.0,0.0001243781094527363,25,3000
LDPC short (N=128),"LDPC(128,67)",0.5234375,5.5,0.0,0,3000
LDPC short (N=128),"LDPC(128,67)",0.5234375,6.0,0.0,0,3000
